cohort,record_type,model,formula,n_episodes,n_persons,n_observations,n_fixed_effects,n_parameters,log_likelihood,AIC,BIC,fixed_variance,person_variance,episode_variance,residual_variance,marginal_R2,conditional_R2,converged,optimizer,optimizer_message,lrt_df,lrt_statistic,lrt_p_value,coefficient,estimate
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,socio[partly_retired],-0.0225677618092828
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,socio[retired],0.1759485317633435
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,socio[unemployed],0.256869397745031
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,socio[unknown],0.1450513430970765
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,Intercept,-0.4860080863535121
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[pre2],-0.0817710729701382
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[event],0.3148007104092969
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[year2],0.0464911125102155
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[year4],-0.0257357914698196
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,event[unemployment],-0.0350099752189459
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,event[caregiving],-0.0915411530465625
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,event[health],0.0779976417776779
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[pre2]:event[unemployment],0.033000202091817
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[pre2]:event[caregiving],0.0853466007604319
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[pre2]:event[health],0.0800736261060553
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[event]:event[unemployment],-0.2120972531299502
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[event]:event[caregiving],-0.2550122695953564
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[event]:event[health],-0.0758794188955115
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[year2]:event[unemployment],-0.0454240524766691
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[year2]:event[caregiving],-0.0265471354498106
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[year2]:event[health],0.228794017893499
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[year4]:event[unemployment],-0.0160072595688885
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[year4]:event[caregiving],-0.0275335297140951
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[year4]:event[health],0.2054275484787839
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,age_centered,-0.0098884625494636
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,calendar_centered,0.0048147485072661
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,sex[female],0.115640956725261
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,education[other_qualification],0.2245038063949189
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,education[no_qualification],0.5102197775620569
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,education[unknown],0.101053599624068
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,socio[disabled],0.4660279234816472
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,socio[not_labor_force],0.1574406124903373
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,socio[partly_retired],-0.023032517261541
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,socio[retired],0.1751589997196501
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,socio[unemployed],0.2591872990678422
HRS,fixed_effect,E,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,socio[unknown],0.1421246985045232
