record_type,cohort,validation,outcome_metric,outcome_formulation,model,base_model,candidate_model,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_se,n_persons,n_train_min,n_train_max,temporal_cutoff,bootstrap_success,bootstrap_attempts,notes
model_metric,HRS,grouped_10fold,acute,ancova_level,B4,,,,mean_log_predictive_density,-1.335634273672783,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B4,,,,calibration_intercept,0.0068572331440867,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B4,,,,calibration_slope,0.9686361840316278,,,,1166,1049,1050,,,,
comparison,HRS,grouped_10fold,acute,ancova_level,,B0,B1,B1_minus_B0,RMSE,0.0261646096346923,0.0127786567384981,0.0406734467151523,0.0071619431758459,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,ancova_level,,B0,B1,B1_minus_B0,MAE,0.0300891284384271,0.018241774365766,0.0407528810965477,0.0058576905034785,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,ancova_level,,B0,B1,B1_minus_B0,predictive_R2,0.0416243652951844,0.0199221353790029,0.0633717947444374,0.0113355629921148,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,ancova_level,,B0,B1,B1_minus_B0,mean_log_predictive_density,0.0286134896131713,0.01318648870419,0.0447877330357783,0.0081344153322504,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,ancova_level,,B0,B2,B2_minus_B0,RMSE,-0.0007970629132877,-0.001771233759941,0.0002024610788893,0.00051057636787,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,ancova_level,,B0,B2,B2_minus_B0,MAE,-0.0009160886283948,-0.0018594055640829,-7.483337797753538e-06,0.0004776478030773,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,ancova_level,,B0,B2,B2_minus_B0,predictive_R2,-0.0012868983700553,-0.0028889554166388,0.0003235973258084,0.0008248693099516,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,ancova_level,,B0,B2,B2_minus_B0,mean_log_predictive_density,-0.0009046186401013,-0.0020389046510005,0.0002087127471672,0.000571683856277,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,ancova_level,,B0,B3,B3_minus_B0,RMSE,0.0,0.0,0.0,0.0,1166,1049,1050,,500.0,500.0,structural identity under mandatory ANCOVA baseline
comparison,HRS,grouped_10fold,acute,ancova_level,,B0,B3,B3_minus_B0,MAE,0.0,0.0,0.0,0.0,1166,1049,1050,,500.0,500.0,structural identity under mandatory ANCOVA baseline
comparison,HRS,grouped_10fold,acute,ancova_level,,B0,B3,B3_minus_B0,predictive_R2,0.0,0.0,0.0,0.0,1166,1049,1050,,500.0,500.0,structural identity under mandatory ANCOVA baseline
comparison,HRS,grouped_10fold,acute,ancova_level,,B0,B3,B3_minus_B0,mean_log_predictive_density,0.0,0.0,0.0,0.0,1166,1049,1050,,500.0,500.0,structural identity under mandatory ANCOVA baseline
comparison,HRS,grouped_10fold,acute,ancova_level,,B3,B4,B4_minus_B3,RMSE,-0.0007970629132877,-0.0016524253606134,0.000177505301664,0.0005019925616788,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,ancova_level,,B3,B4,B4_minus_B3,MAE,-0.0009160886283948,-0.0018492696991667,-3.248561305903567e-05,0.0004686465808954,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,ancova_level,,B3,B4,B4_minus_B3,predictive_R2,-0.0012868983700553,-0.0026830733301665,0.000293107695612,0.0008110763335182,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,acute,ancova_level,,B3,B4,B4_minus_B3,mean_log_predictive_density,-0.0009046186401013,-0.0018808511050397,0.0001919948312799,0.0005623032379511,1166,1049,1050,,500.0,500.0,
model_metric,HRS,grouped_10fold,persistence,change,B0,,,,RMSE,0.994095266181463,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B0,,,,MAE,0.7194066444423826,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B0,,,,predictive_R2,0.004231589164687,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B0,,,,mean_log_predictive_density,-1.4139570163546031,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B0,,,,calibration_intercept,0.0292406789047642,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B0,,,,calibration_slope,0.622661415160196,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B1,,,,RMSE,0.9951448056235016,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B1,,,,MAE,0.7204215679479442,,,,1166,1049,1050,,,,
