source_table,cohort,validation,outcome_metric,outcome_formulation,baseline_scope,comparison,estimate,ci_lower,ci_upper,benchmark,upper_below,interval_crosses,lower_above,eu_predictive_R2_gain,gain_to_abs_eu_ratio,same_order_of_magnitude_as_eu,n_persons,notes
baseline_information_decomposition,UKHLS,temporal_70_30,persistence,ancova_level,current_state,B4_minus_B3,-0.0177577185064801,-0.034594208172409,-0.0036339836111442,0.01,True,False,False,0.001672659687636,-10.6164563166925,False,587,"benchmarks are predictive-statistical, not clinical"
prior_response_representation,HRS,grouped_10fold,acute,change,context,R1_prior_acute_minus_BASE,0.002363888700279,-0.0067893567899525,0.0112828131627946,0.0025,False,True,False,0.0049367170673443,0.4788381971322266,True,1166,"benchmarks are predictive-statistical, not clinical"
prior_response_representation,HRS,grouped_10fold,acute,change,context,R1_prior_acute_minus_BASE,0.002363888700279,-0.0067893567899525,0.0112828131627946,0.005,False,True,False,0.0049367170673443,0.4788381971322266,True,1166,"benchmarks are predictive-statistical, not clinical"
prior_response_representation,HRS,grouped_10fold,acute,change,context,R1_prior_acute_minus_BASE,0.002363888700279,-0.0067893567899525,0.0112828131627946,0.01,False,True,False,0.0049367170673443,0.4788381971322266,True,1166,"benchmarks are predictive-statistical, not clinical"
prior_response_representation,HRS,grouped_10fold,acute,change,context,R2_prior_persistence_minus_BASE,0.0354833162766838,0.0108059984055997,0.0635683408819913,0.0025,False,False,True,0.0049367170673443,7.187634169152839,True,1166,"benchmarks are predictive-statistical, not clinical"
prior_response_representation,HRS,grouped_10fold,acute,change,context,R2_prior_persistence_minus_BASE,0.0354833162766838,0.0108059984055997,0.0635683408819913,0.005,False,False,True,0.0049367170673443,7.187634169152839,True,1166,"benchmarks are predictive-statistical, not clinical"
prior_response_representation,HRS,grouped_10fold,acute,change,context,R2_prior_persistence_minus_BASE,0.0354833162766838,0.0108059984055997,0.0635683408819913,0.01,False,False,True,0.0049367170673443,7.187634169152839,True,1166,"benchmarks are predictive-statistical, not clinical"
prior_response_representation,HRS,grouped_10fold,acute,change,context,R3_joint_raw_minus_BASE,0.031727287447383,0.0046836907481327,0.0580659941415894,0.0025,False,False,True,0.0049367170673443,6.426798824922474,True,1166,"benchmarks are predictive-statistical, not clinical"
prior_response_representation,HRS,grouped_10fold,acute,change,context,R3_joint_raw_minus_BASE,0.031727287447383,0.0046836907481327,0.0580659941415894,0.005,False,True,False,0.0049367170673443,6.426798824922474,True,1166,"benchmarks are predictive-statistical, not clinical"
prior_response_representation,HRS,grouped_10fold,acute,change,context,R3_joint_raw_minus_BASE,0.031727287447383,0.0046836907481327,0.0580659941415894,0.01,False,True,False,0.0049367170673443,6.426798824922474,True,1166,"benchmarks are predictive-statistical, not clinical"
prior_response_representation,HRS,grouped_10fold,acute,change,context,R4_acute_residual_minus_BASE,0.0014791180135543,-0.0071850037989232,0.0095805092481361,0.0025,False,True,False,0.0049367170673443,0.2996157149330153,True,1166,"benchmarks are predictive-statistical, not clinical"
prior_response_representation,HRS,grouped_10fold,acute,change,context,R4_acute_residual_minus_BASE,0.0014791180135543,-0.0071850037989232,0.0095805092481361,0.005,False,True,False,0.0049367170673443,0.2996157149330153,True,1166,"benchmarks are predictive-statistical, not clinical"
