record_type,cohort,validation,outcome_metric,outcome_formulation,baseline_scope,model,base_model,candidate_model,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_se,n_persons,ridge_alpha_min,ridge_alpha_median,ridge_alpha_max,temporal_cutoff,bootstrap_success,bootstrap_attempts,notes
model_metric,HRS,grouped_10fold,acute,change,current_state,R2_prior_persistence,,,,RMSE,0.9167609277035864,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R2_prior_persistence,,,,MAE,0.7390310581652215,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R2_prior_persistence,,,,predictive_R2,0.2068776487359507,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R2_prior_persistence,,,,mean_log_predictive_density,-1.33288787777376,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R2_prior_persistence,,,,calibration_intercept,0.0102383345598356,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R2_prior_persistence,,,,calibration_slope,0.9502859552442042,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R3_joint_raw,,,,RMSE,0.9182606048031092,,,,1166,10.0,100.0,100.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R3_joint_raw,,,,MAE,0.7405084937692572,,,,1166,10.0,100.0,100.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R3_joint_raw,,,,predictive_R2,0.2042806787960186,,,,1166,10.0,100.0,100.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R3_joint_raw,,,,mean_log_predictive_density,-1.334653146792975,,,,1166,10.0,100.0,100.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R3_joint_raw,,,,calibration_intercept,0.0112684476369911,,,,1166,10.0,100.0,100.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R3_joint_raw,,,,calibration_slope,0.9460602154428795,,,,1166,10.0,100.0,100.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_acute_residual,,,,RMSE,0.915966021348817,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_acute_residual,,,,MAE,0.7396598760561355,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_acute_residual,,,,predictive_R2,0.2082524557306261,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_acute_residual,,,,mean_log_predictive_density,-1.3321565832116014,,,,1166,0.0,0.0,0.0,,,,
