case_id,sample_id,cohort,analysis,event_family,outcome,variant,benchmark,representation,base_role,n_parent,n_complete,missing_excluded,temporal_cutoff,temporal_train_n,temporal_test_n,temporal_person_overlap_excluded,run_id,formulation,scale,analysis_role,validation,row_type,term,metric,estimate,ci_lower,ci_upper,n_evaluated,n_finite_model_predictions,bootstrap_successful,bootstrap_attempted,bootstrap_seed,status,interval_status,increment_definition
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,temporal,increment,M3-M2,calibration_intercept,-0.0629286844692997,-0.1020399680805304,-0.0077754934990833,51,51,500,500,1915560612,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,temporal,increment,M3-M2,calibration_slope,0.0239056764838222,0.0022320240418426,0.0394850253274812,51,51,500,500,1915560612,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,temporal,increment,M3-M2,mae,-0.0060975775805152,-0.0199224878864478,0.0058845547903624,51,51,500,500,1915560612,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,temporal,increment,M3-M2,mean_log_predictive_density,0.0074442285113498,0.0001648647831428,0.017003935907687,51,51,500,500,1915560612,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,temporal,increment,M3-M2,predictive_r2,0.0088228122427124,0.000177786943599,0.0230277102992791,51,51,500,500,1915560612,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,temporal,increment,M3-M2,rmse,-0.0137198927125372,-0.0274076703434822,-0.00027846612761,51,51,500,500,1915560612,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,temporal,model,M0,calibration_intercept,0.2340086971319164,-1.1513278589448566,1.7041101822822715,51,51,500,500,1915560612,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,temporal,model,M0,calibration_slope,0.9707274670802624,0.3996912530287747,1.53687460544298,51,51,500,500,1915560612,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,temporal,model,M0,mae,1.75404771054647,1.410285400802227,2.133212679053427,51,51,500,500,1915560612,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,temporal,model,M0,mean_log_predictive_density,-2.245184071533765,-2.5678815644590274,-2.001787076242618,51,51,500,500,1915560612,estimated,500_paired_person_resamples,augmented_minus_baseline
